"WEB_id","Ecosystem","FCL_short","FCL_mean","FCL_long","richness","empty","monoA.single","bi.single","s5","s4","s1","d4","d3","s2","s3","d8","d2","d1","d5","d7","d6"
151,"plant",3,3.63636363636363,4,23,1008,528,0,52,113,60,0,0,10,0,0,0,0,0,0,0
152,"plant",3,3,4,23,1334,329,0,80,4,23,0,0,1,0,0,0,0,0,0,0
153,"plant",2,2,2,7,6,8,0,8,7,6,0,0,0,0,0,0,0,0,0,0
154,"plant",2,2.25,3,15,137,197,0,51,37,17,0,0,16,0,0,0,0,0,0,0
155,"plant",2,2.5,4,16,185,113,0,144,42,41,0,0,35,0,0,0,0,0,0,0
156,"plant",2,2,2,14,187,102,0,49,10,16,0,0,0,0,0,0,0,0,0,0
157,"plant",2,2.41666666666667,4,7,2,10,0,5,6,8,0,0,4,0,0,0,0,0,0,0
158,"plant",2,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
159,"plant",2,2.5,3,8,22,21,0,8,0,4,0,0,1,0,0,0,0,0,0,0
160,"plant",3,3.34027777777778,5,14,100,132,0,46,26,36,0,0,24,0,0,0,0,0,0,0
161,"plant",2,3.41333333333333,6,12,40,70,0,26,16,38,0,0,30,0,0,0,0,0,0,0
162,"plant",2,2.83333333333333,5,11,27,69,0,18,16,17,0,0,18,0,0,0,0,0,0,0
163,"plant",2,2,2,9,45,16,0,17,0,5,0,0,1,0,0,0,0,0,0,0
164,"plant",2,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
165,"plant",2,2.5,3,6,2,10,0,3,0,3,0,0,2,0,0,0,0,0,0,0
166,"plant",3,3,3,11,69,57,0,19,7,13,0,0,0,0,0,0,0,0,0,0
167,"plant",3,3.27209378115175,7,62,28710,7332,0,672,659,295,0,0,152,0,0,0,0,0,0,0
168,"plant",2,2.98571428571429,5,36,4958,1784,0,160,122,78,0,0,38,0,0,0,0,0,0,0
169,"plant",2,2.91282051282051,5,37,5630,1742,0,136,161,49,0,0,52,0,0,0,0,0,0,0
170,"plant",2,3.14285714285714,5,13,116,104,0,21,22,17,0,0,6,0,0,0,0,0,0,0
171,"plant",2,3.28333333333333,5,9,11,35,0,6,11,13,0,0,8,0,0,0,0,0,0,0
172,"plant",2,3.02777777777778,5,12,78,103,0,11,4,15,0,0,9,0,0,0,0,0,0,0
173,"plant",2,2.97619047619048,5,9,13,15,0,9,19,8,0,0,20,0,0,0,0,0,0,0
174,"plant",2,3.2,5,12,90,77,0,22,9,15,0,0,7,0,0,0,0,0,0,0
175,"plant",2,2.95625,5,12,63,47,0,26,44,17,0,0,23,0,0,0,0,0,0,0
176,"plant",2,2.9,5,19,539,333,0,36,25,19,0,0,17,0,0,0,0,0,0,0
177,"plant",2,3.03125,5,24,1277,593,0,50,56,25,0,0,23,0,0,0,0,0,0,0
178,"plant",3,3.75,4,9,33,28,0,8,3,9,0,0,3,0,0,0,0,0,0,0
179,"plant",2,2.5,3,9,21,37,0,10,7,7,0,0,2,0,0,0,0,0,0,0
180,"plant",3,5,NA,47,13775,2072,21,213,63,45,0,23,2,0,0,1,0,0,0,0
181,"plant",3,3.33333333333333,4,89,105211,6627,0,1584,57,72,0,0,13,0,0,0,0,0,0,0
182,"plant",3,3,3,90,105491,10604,0,961,248,174,0,0,2,0,0,0,0,0,0,0
183,"plant",3,3,3,36,5855,912,0,329,10,26,0,0,8,0,0,0,0,0,0,0
184,"animal",2,2,2,20,655,118,0,125,210,2,0,0,30,0,0,0,0,0,0,0
185,"animal",3,3,3,32,3752,578,0,568,20,20,0,0,22,0,0,0,0,0,0,0
186,"animal",1,1,1,26,1788,448,0,294,70,0,0,0,0,0,0,0,0,0,0,0
187,"animal",2,2,2,50,14682,3576,0,789,484,41,0,0,28,0,0,0,0,0,0,0
188,"animal",2,2,2,27,2081,516,0,268,30,27,0,0,3,0,0,0,0,0,0,0
189,"animal",2,2,2,18,589,92,0,127,0,2,0,0,6,0,0,0,0,0,0,0
190,"animal",2,2,2,8,20,18,0,12,2,4,0,0,0,0,0,0,0,0,0,0
191,"animal",2,2.35793650793651,4,27,1728,638,0,228,253,34,0,0,44,0,0,0,0,0,0,0
192,"animal",1,1,1,6,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
193,"animal",2,2,2,21,826,264,0,188,30,6,0,0,16,0,0,0,0,0,0,0
194,"animal",1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195,"animal",2,2.1,3,25,1260,632,0,274,92,18,0,0,24,0,0,0,0,0,0,0
196,"animal",2,2,2,14,151,81,0,96,18,3,0,0,15,0,0,0,0,0,0,0
197,"animal",2,2,2,17,305,225,0,64,59,27,0,0,0,0,0,0,0,0,0,0
198,"desert",2,2,2,28,2587,416,0,243,15,15,0,0,0,0,0,0,0,0,0,0
199,"animal",1,1.17234848484849,3,32,3459,634,0,47,755,3,0,0,62,0,0,0,0,0,0,0
200,"animal",1,2.36666666666667,4,26,1498,573,0,339,114,27,0,0,49,0,0,0,0,0,0,0
201,"animal",2,2.5,4,35,3316,1837,0,568,517,110,0,0,197,0,0,0,0,0,0,0
202,"freshwater",1,1.16666666666667,2,19,756,56,0,3,150,0,0,0,4,0,0,0,0,0,0,0
203,"freshwater",2,2,2,15,122,107,0,93,99,34,0,0,0,0,0,0,0,0,0,0
204,"freshwater",3,3.25,4,33,4041,1169,0,177,37,19,0,0,13,0,0,0,0,0,0,0
205,"freshwater",1,2.19580419580419,4,24,763,616,0,179,284,86,0,0,96,0,0,0,0,0,0,0
206,"freshwater",2,2.11111111111111,3,29,1635,1230,0,415,203,144,0,0,27,0,0,0,0,0,0,0
207,"freshwater",1,1.6,3,32,2172,1526,0,286,738,88,0,0,150,0,0,0,0,0,0,0
208,"freshwater",2,2.90416666666667,4,11,20,48,0,21,32,16,0,0,28,0,0,0,0,0,0,0
209,"freshwater",2,2.48611111111111,6,24,648,751,0,229,187,142,0,0,67,0,0,0,0,0,0,0
210,"freshwater",3,3.3027950310559,4,60,25308,7121,0,881,558,325,0,0,27,0,0,0,0,0,0,0
211,"freshwater",1,1.5,3,34,4191,1293,0,104,328,57,0,0,11,0,0,0,0,0,0,0
212,"freshwater",1,1.55555555555556,2,23,1236,441,0,11,68,14,0,0,1,0,0,0,0,0,0,0
213,"freshwater",2,2.1,4,34,3297,1844,0,482,230,77,0,0,54,0,0,0,0,0,0,0
