N,B,Connectance,T,Disturbance,Eco_size,Richness,Chain,Omnivory,Apparent,Exploitation,FCL
32,8,0.12,2,0.5,2,16,0.27,0.1,0.27,0.36,4
48,4,0.1,2,0.5,1.75,25,0.367768595,0.090909091,0.285123967,0.256198347,7
64,4,0.11,10,0.1,1.75,37,0.305740988,0.08811749,0.273698264,0.332443258,8
32,2,0.12,0.5,0.7,1.75,9,0.235294118,0.264705882,0.205882353,0.294117647,4
32,6,0.1,1,0.3,0.25,2,NA,NA,NA,NA,0
24,4,0.09,1,0.2,1.75,6,0.333333333,0,0.166666667,0.5,2
64,6,0.1,10,0.5,0.5,17,0.385542169,0.060240964,0.253012048,0.301204819,5
24,2,0.11,2,0.3,0.25,2,NA,NA,NA,NA,0
24,6,0.12,0.1,0.9,0.25,1,NA,NA,NA,NA,0
24,6,0.11,0.1,0.4,1.5,14,0.215384615,0.076923077,0.338461538,0.369230769,3
