N,B,Connectance,T,Disturbance,Eco_size,Richness,Chain,Omnivory,Apparent,Exploitation,FCL
16,4,0.09,10,0.7,1.25,6,0.4,0,0.6,0,1.666666667
32,6,0.1,0.5,0.6,1.25,15,0.404580153,0.091603053,0.282442748,0.221374046,2.890625
24,2,0.13,1,0.7,1,0,NA,NA,NA,NA,-1
48,4,0.11,0.1,0.4,0.75,10,0.3125,0.0625,0.25,0.375,1.75
16,4,0.13,0.1,0.4,0.75,7,0.4,0.066666667,0.4,0.133333333,2.166666667
32,8,0.09,1,0.2,1,10,0.085714286,0,0.4,0.514285714,2
16,2,0.11,2,0.3,1,1,NA,NA,NA,NA,0
64,6,0.12,0.5,0.3,0.25,2,NA,NA,NA,NA,0
48,4,0.12,0.5,0.4,1,12,0.188679245,0.150943396,0.301886792,0.358490566,2.5
24,6,0.13,1,0.8,1,2,NA,NA,NA,NA,0
64,8,0.11,2,0.6,1.75,33,0.273504274,0.178632479,0.382051282,0.165811966,5.480146724
64,6,0.09,1,0.6,1.5,23,0.36,0.08,0.24,0.32,3.303819444
32,4,0.13,0.1,0.6,1.75,8,0.2,0.1,0.3,0.4,2
24,8,0.1,1,0.9,0.75,2,NA,NA,NA,NA,0
48,8,0.1,10,0.5,1.5,20,0.333333333,0.055555556,0.259259259,0.351851852,4.5
16,2,0.13,1,0.1,0.5,4,0,0.333333333,0.666666667,0,1.333333333
16,6,0.09,2,0.8,0.25,2,NA,NA,NA,NA,0
16,2,0.1,10,0.2,2,7,0.6,0,0,0.4,3
32,8,0.11,2,0.6,2,11,0.4,0.05,0.4,0.15,4
32,8,0.09,10,0.3,0.25,7,0.181818182,0.181818182,0.272727273,0.363636364,1.666666667
64,2,0.11,1,0.1,0.25,6,0.1,0.1,0.2,0.6,1.5
24,8,0.09,0.5,0.8,0.75,2,NA,NA,NA,NA,0
64,4,0.1,10,0.4,0.75,7,0.625,0.25,0,0.125,3.25
48,8,0.1,10,0.5,2,34,0.255189255,0.097680098,0.380952381,0.266178266,2.869836259
24,6,0.13,1,0.8,1,5,0.25,0,0,0.75,2
24,2,0.1,2,0.1,1,8,0.235294118,0.235294118,0.176470588,0.352941176,1.833333333
24,6,0.12,2,0.6,0.25,2,NA,NA,NA,NA,0
48,8,0.13,1,0.4,1,18,0.270491803,0.081967213,0.368852459,0.278688525,2.666666667
16,4,0.13,0.5,0.8,1.75,8,0.5,0.166666667,0.166666667,0.166666667,3
16,6,0.11,0.1,0.7,1.25,4,NA,NA,NA,NA,1
16,8,0.11,0.1,0.9,2,5,NA,NA,NA,NA,1
64,2,0.13,2,0.2,1.75,28,0.32853717,0.083932854,0.338129496,0.24940048,4.657407407
16,6,0.09,1,0.7,1.75,7,0,0,0.5,0.5,1
32,2,0.11,10,0.3,1.75,9,0.3125,0.125,0.25,0.3125,2.5
64,8,0.09,2,0.3,0.25,2,NA,NA,NA,NA,1
32,2,0.12,10,0.3,1.75,10,0.444444444,0.166666667,0.222222222,0.166666667,3
32,4,0.13,2,0.7,0.5,1,NA,NA,NA,NA,0
32,4,0.12,2,0.2,0.25,4,0,0,0.5,0.5,1
16,6,0.1,1,0.5,0.25,3,NA,NA,NA,NA,1
48,8,0.12,2,0.5,1.5,20,0.267379679,0.13368984,0.336898396,0.262032086,2.572916667
48,8,0.1,0.1,0.1,1,25,0.330677291,0.099601594,0.290836653,0.278884462,3.317261905
64,8,0.09,1,0.7,1.75,27,0.402666667,0.098666667,0.242666667,0.256,3.668492798
48,6,0.11,2,0.3,1,21,0.337209302,0.063953488,0.279069767,0.319767442,3.020833333
16,6,0.11,0.5,0.2,1,13,0.296875,0.09375,0.3125,0.296875,2.305555556
64,8,0.12,10,0.3,2,41,0.259401381,0.10514198,0.426707598,0.208749041,4.018388889
64,6,0.1,1,0.5,2,35,0.26199262,0.090405904,0.367158672,0.280442804,3.550154321
24,8,0.1,0.5,0.1,1.5,14,0.22,0.1,0.4,0.28,1.75
48,8,0.12,2,0.1,1.25,26,0.296969697,0.087878788,0.333333333,0.281818182,2.578571429
32,6,0.09,1,0.8,0.75,3,NA,NA,NA,NA,0
16,2,0.11,2,0.9,0.25,0,NA,NA,NA,NA,-1
64,8,0.11,2,0.4,1.25,28,0.272260274,0.104452055,0.311643836,0.311643836,2.858333333
64,2,0.11,0.1,0.9,0.75,7,0.5,0,0,0.5,3
32,8,0.09,1,0.8,1,15,0.21,0.09,0.41,0.29,2.025
48,6,0.1,2,0.7,0.75,3,NA,NA,NA,NA,1
16,4,0.1,1,0.2,0.25,2,NA,NA,NA,NA,0
32,4,0.09,2,0.3,0.5,3,0,1,0,0,1.5
32,6,0.11,0.1,0.3,1.5,21,0.246987952,0.096385542,0.343373494,0.313253012,3
48,6,0.09,1,0.2,1.25,13,0.378378378,0.148648649,0.189189189,0.283783784,2.972222222
16,2,0.12,0.5,0.1,1.25,8,0.444444444,0,0.166666667,0.388888889,2
16,4,0.13,0.1,0.7,1.25,3,0,0,0,1,1
32,2,0.1,10,0.8,2,6,0.25,0.25,0,0.5,2
48,6,0.13,0.1,0.4,2,29,0.339449541,0.087155963,0.321100917,0.252293578,3.031344697
24,2,0.12,10,0.9,1.25,3,0,0,0,1,1
48,8,0.1,10,0.5,1,15,0.264,0.152,0.272,0.312,2.7
64,8,0.11,0.5,0.5,0.75,16,0.258823529,0.011764706,0.423529412,0.305882353,2.4
32,8,0.12,0.1,0.5,1.75,20,0.351648352,0.126373626,0.302197802,0.21978022,3.155092593
48,4,0.1,10,0.9,2,15,0.418918919,0.081081081,0.256756757,0.243243243,3.87962963
32,4,0.09,2,0.3,1.5,16,0.213740458,0.129770992,0.297709924,0.358778626,2.333333333
16,2,0.1,1,0.4,1.25,2,NA,NA,NA,NA,1
64,6,0.11,0.1,0.7,1,2,NA,NA,NA,NA,0
32,4,0.12,0.5,0.5,0.75,6,0.75,0,0,0.25,3
64,6,0.11,10,0.8,0.5,8,0.304347826,0,0.217391304,0.47826087,2
48,2,0.13,2,0.3,1.25,9,0.25,0.15,0.15,0.45,2
16,6,0.13,1,0.8,1,4,0,0,0.5,0.5,1
16,6,0.12,0.1,0.1,1,14,0.152777778,0.138888889,0.444444444,0.263888889,1.666666667
64,4,0.1,0.5,0.1,1.5,30,0.358299595,0.093117409,0.305668016,0.24291498,4.305555556
