N,B,Connectance,T,Disturbance,Eco_size,Richness,Chain,Omnivory,Apparent,Exploitation,FCL
32,2,0.12,10,0.4,1.5,16,0.25,0.170454545,0.227272727,0.352272727,3
64,6,0.1,10,0.2,1.75,26,0.267605634,0.078873239,0.414084507,0.23943662,2
16,2,0.1,2,0.7,0.75,5,0.5,0,0.25,0.25,2
64,2,0.1,1,0.3,0.25,1,NA,NA,NA,NA,0
24,4,0.1,1,0.9,1,4,NA,NA,NA,NA,1
32,2,0.09,0.5,0.5,1.75,7,0.384615385,0.230769231,0.076923077,0.307692308,3
32,8,0.09,10,0.4,0.5,4,0,1,0,0,1
48,2,0.09,2,0.7,1.5,9,0.282051282,0.256410256,0.205128205,0.256410256,2
16,8,0.09,2,0.5,1,4,0,0,1,0,1
24,8,0.13,10,0.9,1.5,7,0.5,0,0.375,0.125,2
24,6,0.1,0.5,0.3,1.75,9,0.375,0.125,0.375,0.125,2
32,8,0.09,2,0.3,0.5,9,0.307692308,0,0.538461538,0.153846154,2
32,4,0.09,0.1,0.3,1.25,8,0.214285714,0.071428571,0.214285714,0.5,2
64,4,0.13,2,0.4,0.75,20,0.366336634,0.113861386,0.272277228,0.247524752,3
64,2,0.13,0.1,0.6,0.75,2,NA,NA,NA,NA,1
32,2,0.13,0.5,0.7,1.75,1,NA,NA,NA,NA,0
16,8,0.11,0.1,0.6,1.75,6,0.3,0.1,0.6,0,1
32,8,0.09,2,0.3,1.75,12,0.444444444,0.055555556,0.277777778,0.222222222,2
32,4,0.13,1,0.8,0.5,2,NA,NA,NA,NA,0
48,6,0.11,0.5,0.2,1,17,0.271929825,0.078947368,0.307017544,0.342105263,3
24,8,0.13,0.5,0.4,0.5,2,NA,NA,NA,NA,1
64,2,0.13,10,0.4,0.75,18,0.317880795,0.165562914,0.324503311,0.19205298,3
24,6,0.09,0.1,0.1,1.5,12,0.25,0.041666667,0.375,0.333333333,3
16,4,0.12,2,0.6,1.5,7,0.111111111,0,0.444444444,0.444444444,1
16,8,0.09,2,0.6,1.75,8,0.416666667,0.083333333,0.166666667,0.333333333,2
24,4,0.12,0.1,0.9,0.25,0,NA,NA,NA,NA,-1
32,8,0.13,10,0.8,1,9,0.16,0.24,0.36,0.24,3
48,2,0.12,2,0.5,0.75,10,0.461538462,0,0.115384615,0.423076923,3
64,8,0.1,2,0.8,0.25,6,0.5,0,0.375,0.125,2
24,6,0.11,0.5,0.3,0.5,5,0.125,0.375,0.375,0.125,2
24,4,0.11,0.5,0.1,1.25,16,0.287037037,0.101851852,0.268518519,0.342592593,2
48,8,0.1,2,0.6,0.25,1,NA,NA,NA,NA,0
16,8,0.11,2,0.2,1.25,8,0.5,0,0.5,0,2
64,6,0.09,0.1,0.6,1.25,19,0.317829457,0.093023256,0.279069767,0.310077519,3
24,8,0.13,0.5,0.7,0.25,1,NA,NA,NA,NA,0
32,8,0.12,10,0.2,0.5,13,0.315789474,0.210526316,0.210526316,0.263157895,2
16,4,0.12,0.5,0.6,0.75,1,NA,NA,NA,NA,0
48,2,0.11,2,0.2,0.25,0,NA,NA,NA,NA,-1
24,2,0.13,10,0.2,0.25,2,NA,NA,NA,NA,0
24,2,0.1,10,0.6,1,3,0,1,0,0,1
24,2,0.1,10,0.7,1.25,1,NA,NA,NA,NA,0
24,6,0.1,0.5,0.8,1.25,4,NA,NA,NA,NA,1
48,4,0.11,2,0.3,0.75,12,0.324324324,0.108108108,0.297297297,0.27027027,3
64,8,0.1,10,0.7,1.75,21,0.25,0.12295082,0.319672131,0.307377049,3
16,6,0.11,0.5,0.4,1.5,9,0.1875,0.0625,0.5,0.25,1
24,6,0.1,10,0.9,1.5,8,0.5,0,0.25,0.25,2
32,2,0.13,0.1,0.5,0.75,2,NA,NA,NA,NA,0
16,4,0.13,1,0.2,0.75,4,0,0,0.5,0.5,1
24,2,0.1,1,0.7,1.5,9,0.428571429,0.142857143,0.228571429,0.2,3
16,2,0.11,2,0.7,0.5,2,NA,NA,NA,NA,1
48,6,0.1,2,0.3,2,28,0.316831683,0.086633663,0.28960396,0.306930693,2
32,2,0.1,10,0.2,1.5,5,1,0,0,0,2
32,6,0.11,1,0.1,1,18,0.293103448,0.112068966,0.310344828,0.284482759,2
24,6,0.12,1,0.2,0.5,5,0,0.333333333,0.666666667,0,1
32,4,0.13,2,0.1,1,8,0.2,0,0.066666667,0.733333333,2
48,8,0.1,0.5,0.1,1.5,25,0.347457627,0.11299435,0.293785311,0.245762712,2
32,4,0.09,0.5,0.6,1.5,10,0.333333333,0.041666667,0.375,0.25,2
24,2,0.09,10,0.6,1.5,5,0,0.333333333,0.666666667,0,1
64,4,0.12,2,0.1,0.75,31,0.282275711,0.061269147,0.354485777,0.301969365,3
32,2,0.1,10,0.4,0.5,4,0.5,0,0,0.5,2
24,6,0.09,0.5,0.7,1.75,1,NA,NA,NA,NA,0
16,8,0.11,0.5,0.9,2,8,0.333333333,0,0.333333333,0.333333333,1
48,8,0.12,1,0.3,1,23,0.321917808,0.119863014,0.26369863,0.294520548,3
16,8,0.1,0.1,0.1,0.5,5,NA,NA,NA,NA,0
48,8,0.09,2,0.9,1,11,0.523809524,0.047619048,0.142857143,0.285714286,3
64,2,0.12,10,0.5,0.25,0,NA,NA,NA,NA,-1
32,8,0.09,1,0.3,0.75,18,0.345794393,0.093457944,0.252336449,0.308411215,2
